epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6084166765213013,0.9867771863937378,0.05,0.669571042060852,0.7690846920013428
1,0.6445000171661377,0.8900835514068604,0.05,0.6756032109260559,0.8040997982025146
2,0.6550833582878113,0.8711385726928711,0.05,0.680294930934906,0.7882086634635925
3,0.6645833253860474,0.8325656652450562,0.05,0.7004021406173706,0.7193067073822021
4,0.6711666584014893,0.8206853866577148,0.05,0.7050938606262207,0.7250772714614868
5,0.6812499761581421,0.8026800155639648,0.05,0.7359249591827393,0.648050844669342
6,0.6779999732971191,0.7880344986915588,0.05,0.7044236063957214,0.7646256685256958
7,0.684249997138977,0.7756723761558533,0.05,0.7359249591827393,0.6457437872886658
8,0.6975833177566528,0.7577365636825562,0.05,0.7231903672218323,0.7509886026382446
9,0.6980833411216736,0.7630783915519714,0.05,0.7406166195869446,0.6476491689682007
10,0.7046666741371155,0.7560514211654663,0.05,0.7533512115478516,0.6461887955665588
11,0.7024999856948853,0.7444387078285217,0.05,0.7459785342216492,0.6357752680778503
12,0.7110833525657654,0.7415971755981445,0.05,0.7660858035087585,0.6005249619483948
13,0.7115833163261414,0.7397639155387878,0.05,0.7781501412391663,0.591354250907898
14,0.7176666855812073,0.7291178107261658,0.05,0.7741286754608154,0.6056270599365234
15,0.7202500104904175,0.7234827280044556,0.05,0.7888739705085754,0.5653891563415527
16,0.7254999876022339,0.7070347666740417,0.05,0.7788203954696655,0.5837626457214355
17,0.7384166717529297,0.7012854218482971,0.05,0.7741286754608154,0.6007140874862671
18,0.7401666641235352,0.6888332366943359,0.05,0.7875335216522217,0.6194393038749695
19,0.7397500276565552,0.6934212446212769,0.05,0.7989276051521301,0.5828174948692322
20,0.7377499938011169,0.6987658739089966,0.0475,0.8170241117477417,0.5416793823242188
21,0.7528333067893982,0.6670846939086914,0.0475,0.7908847332000732,0.5745276212692261
22,0.7560833096504211,0.6645423769950867,0.0475,0.819705069065094,0.5392217636108398
23,0.7597500085830688,0.6535090804100037,0.0475,0.8163539171218872,0.5434374809265137
24,0.768916666507721,0.6578513979911804,0.0475,0.8270777463912964,0.5289841890335083
25,0.7666666507720947,0.6519085168838501,0.0475,0.8317694664001465,0.5397720336914062
26,0.7670000195503235,0.6535840034484863,0.0475,0.8297587037086487,0.5298042297363281
27,0.7723333239555359,0.6463655829429626,0.0475,0.8203753232955933,0.5465919375419617
28,0.7802500128746033,0.6295133233070374,0.0475,0.8310992121696472,0.5102172493934631
29,0.7749999761581421,0.6321314573287964,0.0475,0.832439661026001,0.5318691730499268
30,0.781000018119812,0.6236438155174255,0.0475,0.8223860859870911,0.555365264415741
31,0.7935000061988831,0.6095187664031982,0.0475,0.8371313810348511,0.5209376811981201
32,0.7878333330154419,0.6138877868652344,0.0475,0.8471850156784058,0.4893640875816345
33,0.7925000190734863,0.6213495135307312,0.0475,0.8565683364868164,0.48027586936950684
34,0.7930833101272583,0.6078536510467529,0.0475,0.8471850156784058,0.5123289823532104
35,0.8021666407585144,0.5923876762390137,0.0475,0.8518766760826111,0.48053035140037537
36,0.7982500195503235,0.5898560881614685,0.0475,0.8525469303131104,0.49510157108306885
37,0.8009166717529297,0.5976446866989136,0.0475,0.8639410138130188,0.4701889455318451
38,0.8100000023841858,0.5925307273864746,0.0475,0.8418230414390564,0.49196985363960266
39,0.8035833239555359,0.5886538624763489,0.0475,0.8518766760826111,0.49103838205337524
40,0.8042500019073486,0.6005712747573853,0.04286875,0.8753350973129272,0.4555782377719879
41,0.8059166669845581,0.5840601325035095,0.04286875,0.8719838857650757,0.4565203785896301
42,0.8171666860580444,0.5709762573242188,0.04286875,0.8619303107261658,0.47765934467315674
43,0.8146666884422302,0.5676789879798889,0.04286875,0.8766756057739258,0.4366109371185303
44,0.8115000128746033,0.5718068480491638,0.04286875,0.8565683364868164,0.47940686345100403
45,0.8189166784286499,0.5577771663665771,0.04286875,0.8847184777259827,0.4233856499195099
46,0.8181666731834412,0.5594788789749146,0.04286875,0.8793565630912781,0.44608980417251587
47,0.8240000009536743,0.5488129258155823,0.04286875,0.8693029284477234,0.4648766815662384
48,0.8167499899864197,0.5575245022773743,0.04286875,0.8813672661781311,0.4372870624065399
49,0.8220833539962769,0.5535732507705688,0.04286875,0.8605898022651672,0.4945510923862457
50,0.8237500190734863,0.5472574234008789,0.04286875,0.8793565630912781,0.44589027762413025
51,0.8227499723434448,0.561392068862915,0.04286875,0.872654139995575,0.4572754204273224
52,0.827750027179718,0.5367236137390137,0.04286875,0.877345860004425,0.4567236602306366
53,0.8320833444595337,0.5326500535011292,0.04286875,0.8760053515434265,0.4439018666744232
54,0.8330000042915344,0.5402939319610596,0.04286875,0.8806970715522766,0.43708065152168274
55,0.8369166851043701,0.5182409882545471,0.04286875,0.8820375204086304,0.4142087399959564
56,0.8367499709129333,0.5137433409690857,0.04286875,0.8806970715522766,0.43070197105407715
57,0.8403333425521851,0.518284022808075,0.04286875,0.8920911550521851,0.41653308272361755
58,0.8340833187103271,0.5210652947425842,0.04286875,0.8833780288696289,0.4249342083930969
59,0.8368333578109741,0.5205402970314026,0.04286875,0.8806970715522766,0.43516331911087036
60,0.840499997138977,0.5112700462341309,0.036754593,0.8894101977348328,0.4112474322319031
61,0.8411666750907898,0.5061601400375366,0.036754593,0.8847184777259827,0.443727970123291
62,0.843500018119812,0.501758337020874,0.036754593,0.8974530696868896,0.40915343165397644
63,0.8456666469573975,0.4978712201118469,0.036754593,0.890080451965332,0.43447721004486084
64,0.8423333168029785,0.5049894452095032,0.036754593,0.8853887319564819,0.4403817057609558
65,0.84375,0.5031105875968933,0.036754593,0.8914209008216858,0.4178117513656616
66,0.8540833592414856,0.482024610042572,0.036754593,0.8907506465911865,0.40543636679649353
67,0.8524166941642761,0.48322567343711853,0.036754593,0.8847184777259827,0.44214582443237305
68,0.8520833253860474,0.48753514885902405,0.036754593,0.8887399435043335,0.42738014459609985
69,0.8446666598320007,0.4996432662010193,0.036754593,0.8907506465911865,0.4233381748199463
70,0.8534166812896729,0.48513200879096985,0.036754593,0.904825747013092,0.3973105549812317
71,0.8512499928474426,0.4943515658378601,0.036754593,0.8941018581390381,0.4111883342266083
72,0.8541666865348816,0.4795882999897003,0.036754593,0.9041554927825928,0.3999617397785187
73,0.8554166555404663,0.47631511092185974,0.036754593,0.8934316635131836,0.4070856273174286
74,0.8572499752044678,0.4753094017505646,0.036754593,0.8907506465911865,0.41553160548210144
75,0.8535000085830688,0.4812265932559967,0.036754593,0.9008042812347412,0.3943815231323242
76,0.8568333387374878,0.46933040022850037,0.036754593,0.8987935781478882,0.4006192088127136
77,0.8640833497047424,0.4548424184322357,0.036754593,0.8981233239173889,0.4027227759361267
78,0.8579166531562805,0.4714774191379547,0.036754593,0.8927614092826843,0.40541067719459534
79,0.85916668176651,0.46558600664138794,0.036754593,0.8934316635131836,0.4132271409034729
80,0.8672500252723694,0.4468047618865967,0.029936846,0.8994638323783875,0.3989277184009552
81,0.8647500276565552,0.45255962014198303,0.029936846,0.8974530696868896,0.40022706985473633
82,0.8662499785423279,0.4517883360385895,0.029936846,0.8967828154563904,0.39981240034103394
83,0.8675000071525574,0.4447959065437317,0.029936846,0.8987935781478882,0.4035230875015259
84,0.8694166541099548,0.43930140137672424,0.029936846,0.9034852385520935,0.3827122747898102
85,0.8734999895095825,0.44474002718925476,0.029936846,0.9034852385520935,0.38713306188583374
86,0.8654999732971191,0.4551052153110504,0.029936846,0.8947721123695374,0.39722633361816406
87,0.8691666722297668,0.4342831075191498,0.029936846,0.9008042812347412,0.3959498405456543
88,0.8713333606719971,0.43815237283706665,0.029936846,0.9068364500999451,0.3785175383090973
89,0.8725000023841858,0.42682042717933655,0.029936846,0.9021447896957397,0.3800598978996277
90,0.8663333058357239,0.43907245993614197,0.029936846,0.9034852385520935,0.39133456349372864
91,0.8765000104904175,0.43152302503585815,0.029936846,0.9021447896957397,0.38906237483024597
92,0.8628333210945129,0.4581044018268585,0.029936846,0.8987935781478882,0.3872182071208954
93,0.8745833039283752,0.4269081950187683,0.029936846,0.8927614092826843,0.4058476388454437
94,0.871749997138977,0.42874372005462646,0.029936846,0.8987935781478882,0.40620267391204834
95,0.8690000176429749,0.44593656063079834,0.029936846,0.8961126208305359,0.4111999571323395
96,0.8734999895095825,0.4147205054759979,0.029936846,0.8994638323783875,0.3954319953918457
97,0.871666669845581,0.4269350469112396,0.029936846,0.9028149843215942,0.3929535448551178
98,0.8730000257492065,0.4291844069957733,0.029936846,0.9028149843215942,0.3957163691520691
99,0.8728333115577698,0.43852677941322327,0.029936846,0.9041554927825928,0.3806416690349579
100,0.8726666569709778,0.4366966485977173,0.023164561,0.9108579158782959,0.37293845415115356
