epoch,f1_metrics,loss,precision,recall,val_f1_metrics,val_loss,val_precision,val_recall
0,0.49487635,0.6957315304806313,0.44948295,0.62060773,0.5827993750572205,0.5020883679389954,0.5644271373748779,0.6469224691390991
1,0.57458186,0.6008795622118654,0.53452164,0.6542151,0.600235104560852,0.7898391485214233,0.564055323600769,0.6804339289665222
2,0.6001293,0.5683681812542433,0.5640636,0.6659232,0.6165525913238525,0.6189282536506653,0.5958086848258972,0.6642530560493469
3,0.616309,0.5458591268024343,0.5842257,0.67354184,0.620753824710846,0.6793040633201599,0.6048677563667297,0.6621622443199158
4,0.63276106,0.528877646262208,0.5987199,0.6898193,0.6347790360450745,0.7745760083198547,0.6120485663414001,0.6823213696479797
5,0.64399815,0.512080974837038,0.6137603,0.6939843,0.6373926997184753,0.4608061611652374,0.6082550883293152,0.6918089389801025
6,0.65280914,0.49883489106215684,0.62245667,0.70276225,0.6416657567024231,0.7103658318519592,0.6196584105491638,0.6870580911636353
7,0.66175663,0.4905702264019937,0.6314774,0.71021473,0.6465980410575867,0.7414084076881409,0.6373817324638367,0.679577648639679
8,0.6715661,0.4783204234738082,0.6418786,0.71748495,0.6360005140304565,0.33077070116996765,0.6083962321281433,0.6896421909332275
9,0.6777979,0.4704628609745048,0.6481426,0.72330177,0.6463006138801575,0.588028073310852,0.6331493854522705,0.677804708480835
10,0.68749815,0.46254648847269714,0.65916765,0.73071253,0.6486318111419678,0.7474772334098816,0.6183069348335266,0.7031348347663879
11,0.693813,0.453410829067124,0.6656049,0.7366612,0.6428966522216797,0.5522773861885071,0.6189121603965759,0.6884505748748779
12,0.6984715,0.45216558671783846,0.6728575,0.73882806,0.6573731899261475,0.2431722730398178,0.6446706056594849,0.6884518265724182
13,0.70741904,0.44015670814775526,0.67959493,0.74857306,0.6654634475708008,0.29543688893318176,0.6475662589073181,0.7031792402267456
14,0.7109957,0.4370107403865047,0.6842793,0.7512469,0.6707489490509033,0.38299360871315,0.6560481786727905,0.7050192952156067
15,0.7158612,0.42771546292963725,0.6897013,0.7544853,0.6544793248176575,0.6654164791107178,0.6059637665748596,0.7344366312026978
16,0.7180153,0.4289589761997077,0.69080746,0.7577086,0.6781635880470276,0.42075222730636597,0.6646478176116943,0.7122192978858948
17,0.7243839,0.42388081995508037,0.6987642,0.763113,0.674406111240387,0.5802557468414307,0.670877993106842,0.6972559690475464
18,0.7279498,0.4169228680285753,0.7017603,0.7659448,0.6741214990615845,0.3534882068634033,0.6502187848091125,0.7184953689575195
19,0.7334117,0.4101107954819572,0.7068225,0.77166224,0.6771496534347534,0.8404607176780701,0.6503962278366089,0.7252267599105835
20,0.7326069,0.4106098172485616,0.7061014,0.770636,0.671310305595398,0.5026419162750244,0.6509603261947632,0.7115861177444458
21,0.73586506,0.4053390848843809,0.7095782,0.7736205,0.6606649160385132,0.6812317967414856,0.616987943649292,0.7371405959129333
22,0.7401117,0.405666641910924,0.71469724,0.77695256,0.6815874576568604,0.23039424419403076,0.6641606092453003,0.7208259701728821
23,0.73979217,0.4021903587349171,0.7131209,0.77742916,0.6737627387046814,0.2311873733997345,0.6422460079193115,0.7306273579597473
24,0.7430971,0.39944496506463184,0.7190591,0.7779041,0.6833261847496033,0.7228841185569763,0.6681681871414185,0.7214685082435608
25,0.74432546,0.3944375824893753,0.71869135,0.7802287,0.6710532903671265,0.5196617841720581,0.6343696117401123,0.7339525818824768
26,0.74529916,0.39413334222082147,0.71927285,0.7819675,0.6926878094673157,0.7324920892715454,0.6868727207183838,0.7160481214523315
27,0.74987316,0.3862756046129527,0.7246222,0.7846806,0.6861385703086853,0.8779785633087158,0.6611080169677734,0.7341108918190002
